,Primary,Secondary,true
2,Computer_and_Electronics,Business_and_Industry,Reference
12,News_and_Media,Science,Food_and_Drink
13,Food_and_Drink,Shopping,Health
15,Computer_and_Electronics,Internet_and_Telecom,Beauty_and_Fitness
16,Sports,News_and_Media,Beauty_and_Fitness
29,Beauty_and_Fitness,Sports,Sports
35,Computer_and_Electronics,Business_and_Industry,Business_and_Industry
36,People_and_Society,Career_and_Education,Career_and_Education
37,Arts_and_Entertainment,Beauty_and_Fitness,Gambling
39,Reference,Arts_and_Entertainment,Travel
46,Health,Beauty_and_Fitness,Books_and_Literature
47,Science,People_and_Society,Pets_and_Animals
54,Sports,Career_and_Education,News_and_Media
57,People_and_Society,Health,Health
60,Internet_and_Telecom,Beauty_and_Fitness,Health
64,Career_and_Education,Recreation_and_Hobbies,Autos_and_Vehicles
67,Science,Computer_and_Electronics,Arts_and_Entertainment
70,Computer_and_Electronics,Internet_and_Telecom,Food_and_Drink
71,Computer_and_Electronics,Internet_and_Telecom,News_and_Media
73,Books_and_Literature,Reference,Reference
75,Finance,Computer_and_Electronics,Beauty_and_Fitness
77,News_and_Media,Science,Adult
78,Computer_and_Electronics,News_and_Media,Career_and_Education
80,People_and_Society,Science,Science
82,Home_and_Garden,News_and_Media,Autos_and_Vehicles
88,People_and_Society,Games,News_and_Media
89,Beauty_and_Fitness,Finance,Games
93,Travel,Reference,Reference
94,Career_and_Education,Finance,Computer_and_Electronics
101,People_and_Society,Arts_and_Entertainment,Reference
106,People_and_Society,Law_and_Government,Law_and_Government
110,Food_and_Drink,Arts_and_Entertainment,Arts_and_Entertainment
115,Reference,Science,People_and_Society
116,Travel,Law_and_Government,Law_and_Government
117,Beauty_and_Fitness,Finance,Games
119,Pets_and_Animals,Recreation_and_Hobbies,Science
122,Food_and_Drink,Travel,Adult
126,Computer_and_Electronics,Business_and_Industry,Arts_and_Entertainment
130,Computer_and_Electronics,Beauty_and_Fitness,Finance
133,Computer_and_Electronics,Business_and_Industry,Internet_and_Telecom
134,Business_and_Industry,Finance,Finance
137,Games,Computer_and_Electronics,Computer_and_Electronics
138,Reference,Sports,Law_and_Government
139,Reference,News_and_Media,Books_and_Literature
142,Reference,Books_and_Literature,Books_and_Literature
144,Internet_and_Telecom,Autos_and_Vehicles,Autos_and_Vehicles
146,Games,Finance,Business_and_Industry
147,Internet_and_Telecom,News_and_Media,Business_and_Industry
149,Beauty_and_Fitness,Home_and_Garden,Gambling
162,People_and_Society,Reference,Games
163,Adult,Beauty_and_Fitness,Pets_and_Animals
164,Gambling,Beauty_and_Fitness,News_and_Media
165,Travel,Sports,Sports
168,Travel,Books_and_Literature,Reference
172,Games,Gambling,Food_and_Drink
173,Computer_and_Electronics,Internet_and_Telecom,Internet_and_Telecom
176,Beauty_and_Fitness,Health,People_and_Society
182,Health,People_and_Society,Books_and_Literature
183,Food_and_Drink,Shopping,Finance
186,Books_and_Literature,News_and_Media,News_and_Media
187,Autos_and_Vehicles,Business_and_Industry,Gambling
190,Arts_and_Entertainment,Beauty_and_Fitness,Beauty_and_Fitness
191,Health,Science,Business_and_Industry
192,Beauty_and_Fitness,Health,Adult
194,Computer_and_Electronics,Recreation_and_Hobbies,Games
195,Pets_and_Animals,Recreation_and_Hobbies,Business_and_Industry
200,Computer_and_Electronics,Home_and_Garden,Travel
201,News_and_Media,People_and_Society,Career_and_Education
202,Business_and_Industry,Science,Shopping
206,People_and_Society,Computer_and_Electronics,Pets_and_Animals
208,Sports,Gambling,Gambling
210,Beauty_and_Fitness,Health,Reference
211,Beauty_and_Fitness,Business_and_Industry,Health
212,Science,People_and_Society,Career_and_Education
214,Reference,Home_and_Garden,Career_and_Education
216,Travel,Adult,Books_and_Literature
219,Games,Arts_and_Entertainment,Shopping
221,Books_and_Literature,Reference,Reference
224,Autos_and_Vehicles,Internet_and_Telecom,Internet_and_Telecom
228,Health,Beauty_and_Fitness,Books_and_Literature
231,Books_and_Literature,News_and_Media,Business_and_Industry
234,Reference,Books_and_Literature,People_and_Society
237,Travel,Home_and_Garden,Recreation_and_Hobbies
241,Adult,Home_and_Garden,Reference
242,Beauty_and_Fitness,Books_and_Literature,Books_and_Literature
244,Beauty_and_Fitness,Home_and_Garden,Finance
245,Sports,Recreation_and_Hobbies,News_and_Media
247,News_and_Media,Science,Travel
249,Beauty_and_Fitness,Arts_and_Entertainment,Internet_and_Telecom
250,Reference,Science,Career_and_Education
253,Beauty_and_Fitness,Computer_and_Electronics,Health
255,Games,Reference,Autos_and_Vehicles
262,Internet_and_Telecom,Computer_and_Electronics,Career_and_Education
265,Books_and_Literature,News_and_Media,Health
268,Science,Health,Beauty_and_Fitness
269,Food_and_Drink,Beauty_and_Fitness,Beauty_and_Fitness
271,Computer_and_Electronics,Autos_and_Vehicles,Shopping
275,Travel,Gambling,Gambling
276,News_and_Media,Books_and_Literature,Sports
277,Travel,Recreation_and_Hobbies,Recreation_and_Hobbies
278,Finance,Law_and_Government,Law_and_Government
284,News_and_Media,People_and_Society,Health
286,Arts_and_Entertainment,Books_and_Literature,Books_and_Literature
287,Business_and_Industry,Computer_and_Electronics,Computer_and_Electronics
288,News_and_Media,Books_and_Literature,People_and_Society
289,Sports,Internet_and_Telecom,Internet_and_Telecom
291,People_and_Society,Reference,Reference
295,Travel,Autos_and_Vehicles,Autos_and_Vehicles
298,Science,Career_and_Education,Computer_and_Electronics
299,Business_and_Industry,Computer_and_Electronics,Law_and_Government
305,Computer_and_Electronics,Internet_and_Telecom,Adult
306,Computer_and_Electronics,Business_and_Industry,Career_and_Education
312,Games,News_and_Media,Beauty_and_Fitness
313,Food_and_Drink,Finance,Career_and_Education
314,Autos_and_Vehicles,Business_and_Industry,Recreation_and_Hobbies
316,Home_and_Garden,Food_and_Drink,Food_and_Drink
317,People_and_Society,News_and_Media,Internet_and_Telecom
318,Business_and_Industry,Autos_and_Vehicles,Autos_and_Vehicles
319,Computer_and_Electronics,Finance,Health
330,Recreation_and_Hobbies,Science,Science
331,Games,Internet_and_Telecom,Gambling
332,Shopping,Arts_and_Entertainment,Arts_and_Entertainment
333,People_and_Society,Books_and_Literature,Books_and_Literature
336,Computer_and_Electronics,Autos_and_Vehicles,Reference
339,Books_and_Literature,News_and_Media,Internet_and_Telecom
342,Business_and_Industry,Computer_and_Electronics,Computer_and_Electronics
344,News_and_Media,Science,Business_and_Industry
348,Travel,Autos_and_Vehicles,Autos_and_Vehicles
349,Food_and_Drink,Recreation_and_Hobbies,Shopping
351,Reference,Beauty_and_Fitness,Gambling
355,Business_and_Industry,Travel,Shopping
358,Recreation_and_Hobbies,Pets_and_Animals,Pets_and_Animals
359,Law_and_Government,Gambling,Gambling
360,Food_and_Drink,Travel,Health
361,Business_and_Industry,Science,Autos_and_Vehicles
363,Food_and_Drink,News_and_Media,Travel
364,Home_and_Garden,Shopping,Arts_and_Entertainment
366,Home_and_Garden,Health,Health
367,Law_and_Government,People_and_Society,Business_and_Industry
368,Law_and_Government,Gambling,Gambling
370,People_and_Society,Books_and_Literature,News_and_Media
374,Beauty_and_Fitness,Career_and_Education,Health
375,Science,Health,Reference
376,Computer_and_Electronics,Internet_and_Telecom,Internet_and_Telecom
377,Arts_and_Entertainment,Shopping,Beauty_and_Fitness
381,Sports,News_and_Media,Games
383,News_and_Media,Internet_and_Telecom,Reference
385,Food_and_Drink,Beauty_and_Fitness,Shopping
388,Beauty_and_Fitness,Internet_and_Telecom,Shopping
389,People_and_Society,Science,Science
391,Career_and_Education,Travel,Law_and_Government
392,Travel,Business_and_Industry,Shopping
394,Computer_and_Electronics,Gambling,Gambling
395,Finance,People_and_Society,People_and_Society
397,Food_and_Drink,Business_and_Industry,Shopping
398,Autos_and_Vehicles,Beauty_and_Fitness,Computer_and_Electronics
399,Shopping,Recreation_and_Hobbies,Pets_and_Animals
402,Books_and_Literature,Reference,News_and_Media
403,Reference,Autos_and_Vehicles,Autos_and_Vehicles
405,Reference,Arts_and_Entertainment,Arts_and_Entertainment
406,Games,Home_and_Garden,Finance
408,Books_and_Literature,News_and_Media,Home_and_Garden
411,Business_and_Industry,Autos_and_Vehicles,Autos_and_Vehicles
412,Beauty_and_Fitness,Food_and_Drink,Books_and_Literature
415,Food_and_Drink,Home_and_Garden,Home_and_Garden
416,People_and_Society,Career_and_Education,Law_and_Government
419,Food_and_Drink,People_and_Society,Health
420,Internet_and_Telecom,Computer_and_Electronics,Computer_and_Electronics
424,People_and_Society,Books_and_Literature,Books_and_Literature
425,Beauty_and_Fitness,Home_and_Garden,Gambling
427,News_and_Media,Beauty_and_Fitness,Sports
428,Games,Internet_and_Telecom,Autos_and_Vehicles
429,Home_and_Garden,Games,Autos_and_Vehicles
431,Recreation_and_Hobbies,Arts_and_Entertainment,Arts_and_Entertainment
432,Books_and_Literature,News_and_Media,Food_and_Drink
440,Games,Home_and_Garden,Beauty_and_Fitness
445,Science,News_and_Media,News_and_Media
446,Business_and_Industry,Sports,Shopping
451,Arts_and_Entertainment,Beauty_and_Fitness,Health
452,Science,People_and_Society,Law_and_Government
454,Finance,Law_and_Government,Reference
455,Beauty_and_Fitness,Gambling,Gambling
456,Internet_and_Telecom,Autos_and_Vehicles,Autos_and_Vehicles
459,Home_and_Garden,Law_and_Government,Books_and_Literature
463,People_and_Society,News_and_Media,News_and_Media
467,Business_and_Industry,Travel,Science
469,Pets_and_Animals,Sports,Sports
470,Finance,Health,Beauty_and_Fitness
473,Food_and_Drink,Career_and_Education,News_and_Media
479,Games,Internet_and_Telecom,Arts_and_Entertainment
480,Computer_and_Electronics,Games,Arts_and_Entertainment
483,Sports,Gambling,Gambling
484,Books_and_Literature,News_and_Media,Business_and_Industry
485,Gambling,Arts_and_Entertainment,Games
486,Food_and_Drink,Shopping,Arts_and_Entertainment
487,Computer_and_Electronics,Internet_and_Telecom,Sports
488,Autos_and_Vehicles,Beauty_and_Fitness,Shopping
491,Food_and_Drink,Travel,Computer_and_Electronics
496,Computer_and_Electronics,Arts_and_Entertainment,Gambling
497,Internet_and_Telecom,Pets_and_Animals,Recreation_and_Hobbies
499,Travel,Arts_and_Entertainment,Shopping
500,Adult,Gambling,Gambling
501,Computer_and_Electronics,Games,Games
502,Books_and_Literature,Travel,Pets_and_Animals
504,Arts_and_Entertainment,Computer_and_Electronics,Law_and_Government
506,Home_and_Garden,Reference,Reference
507,Science,Business_and_Industry,Health
525,Shopping,Recreation_and_Hobbies,Recreation_and_Hobbies
526,Books_and_Literature,News_and_Media,News_and_Media
528,News_and_Media,Books_and_Literature,People_and_Society
530,Science,Business_and_Industry,Business_and_Industry
534,Books_and_Literature,News_and_Media,People_and_Society
535,Career_and_Education,News_and_Media,Law_and_Government
536,Food_and_Drink,Health,Health
541,Law_and_Government,Business_and_Industry,Business_and_Industry
542,People_and_Society,Books_and_Literature,Books_and_Literature
543,Law_and_Government,Health,People_and_Society
544,Career_and_Education,Finance,Finance
547,Internet_and_Telecom,Arts_and_Entertainment,Gambling
549,News_and_Media,Sports,Sports
550,Business_and_Industry,Shopping,Home_and_Garden
551,Reference,Beauty_and_Fitness,News_and_Media
554,Food_and_Drink,Shopping,Beauty_and_Fitness
555,Games,Home_and_Garden,Autos_and_Vehicles
